,players_mv,players_name,domestic_team,country_name,domestic_team_country,plays_domestically
186,600000.0,Diego Campos,degerfors-if/startseite/verein/3641,Costa Rica,Sweden,N
187,325000.0,Aarón Suárez,ld-alajuelense/startseite/verein/6478,Costa Rica,Costa Rica,Y
188,2000000.0,Joel Campbell,club-leon-fc/startseite/verein/4941,Costa Rica,Mexico,N
189,375000.0,Anthony Contreras,cs-herediano/startseite/verein/2677,Costa Rica,Costa Rica,Y
190,12000000.0,Dominik Livakovic,gnk-dinamo-zagreb/startseite/verein/419,Croatia,Croatia,Y
191,2800000.0,Nediljko Labrovic,hnk-rijeka/startseite/verein/144,Croatia,Croatia,Y
192,5000000.0,Martin Erlic,us-sassuolo/startseite/verein/6574,Croatia,Italy,N
193,15000000.0,Borna Sosa,vfb-stuttgart/startseite/verein/79,Croatia,Germany,N
194,12000000.0,Josip Stanisic,fc-bayern-munchen/startseite/verein/27,Croatia,Germany,N
195,25000000.0,Marcelo Brozovic,inter-mailand/startseite/verein/46,Croatia,Italy,N
196,20000000.0,Lovro Majer,fc-stade-rennes/startseite/verein/273,Croatia,France,N
197,10000000.0,Ivan Perisic,tottenham-hotspur/startseite/verein/148,Croatia,England,N
198,17000000.0,Nikola Vlasic,fc-turin/startseite/verein/416,Croatia,Italy,N
199,9000000.0,Andrej Kramaric,tsg-1899-hoffenheim/startseite/verein/533,Croatia,Germany,N
200,6500000.0,Dion Beljo,fc-augsburg/startseite/verein/167,Croatia,Germany,N
201,3000000.0,Ivica Ivusic,pafos-fc/startseite/verein/45457,Croatia,Cyprus,N
202,18000000.0,Josip Sutalo,gnk-dinamo-zagreb/startseite/verein/419,Croatia,Croatia,Y
203,1800000.0,Domagoj Vida,aek-athen/startseite/verein/2441,Croatia,Greece,N
204,6500000.0,Borna Barisic,glasgow-rangers/startseite/verein/124,Croatia,Scotland,N
205,9000000.0,Josip Juranovic,1-fc-union-berlin/startseite/verein/89,Croatia,Germany,N
206,40000000.0,Mateo Kovacic,fc-chelsea/startseite/verein/631,Croatia,England,N
207,10000000.0,Luka Modric,real-madrid/startseite/verein/418,Croatia,Spain,N
208,20000000.0,Mario Pasalic,atalanta-bergamo/startseite/verein/800,Croatia,Italy,N
209,12000000.0,Luka Ivanusec,gnk-dinamo-zagreb/startseite/verein/419,Croatia,Croatia,Y
