Country Name,Country Code,Indicator Name,Indicator Code,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,244832979621.29,268965206140.92,298819073251.18,335341767111.30,373024154759.55,407740569138.29,444882753309.62,483418609566.27,518991679523.80,579332897735.76,642618205440.97,728350687665.19,879866451210.21,1142236798783.01,1295369935840.44,1501998691902.07,1567495790394.23,1782978319993.57,2183343936515.70,2644833842318.66,2962181083319.03,2574375219647.74,2492495326231.07,2431611024346.65,2332403164199.50,2396184860778.49,3362907352245.57,4159431451515.90,4574521460012.73,4672689376253.42,5880688023843.26,6114122875186.21,6745618204470.38,6172471796791.99,6515617848992.98,7515452849974.94,7604358498831.92,6952189647138.43,7149215002406.38,7116212677298.50,6495755148668.91,6596586819720.33,7200156656955.41,8862330817568.42,10160398631608.80,10523525439926.80,11184044960382.40,12879111960143.50,14158257793140.40,12938506838994.80,12641746115447.30,13637892212888.50,12638778989120.20,13196295674614.70,13510071267777.20,11675505654188.30,11973697030154.20,12679719281959.40,13698192868965.10,13418170804151.70,13085484520637.50,14563282816938.90,
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,739419045798.97,796307885950.48,832988374298.19,921339808483.50,1019162488952.67,1149405903960.21,1377130447867.17,1749159531720.90,1976677749305.18,2309246052102.06,2400108597142.92,2720248084937.46,3319980423551.00,4061374347563.99,4600278663936.51,4094297689432.13,3945553167477.63,3827611790766.62,3678858423954.36,3807089694981.42,5196364722232.83,6421091424438.71,7147464727521.43,7242781282712.29,8860593304054.82,9141275620324.85,9800978179307.81,9002567445703.19,9412850116420.27,10871311245752.50,11095982322837.10,10522887023040.50,10795846412357.40,10677630229457.60,10065982507646.70,10167095927330.50,11134428663904.40,13536025841107.90,15776445792157.60,16782232363361.70,18169148688223.40,21229641721018.30,23365169396298.70,20549204615529.30,21021727246975.90,23305519637939.60,22449773808807.20,23452495953074.90,23779706739057.10,20484146552459.30,20418625057524.10,21653936352095.60,23193558169075.90,22909981097693.60,22139980728586.80,25082834224986.10,
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862081279732.12,834087921236.16,893026222401.70,870041609387.92,798686832074.90,784818139669.44,674052484539.19,721698250959.87,729351069661.08,761369808110.43,705516663756.02,591787456769.13,662873791578.57,655066497573.63,750711476929.07,947223687235.24,1256036185552.00,1589616896404.08,1950078702151.96,2509490346118.70,3110418177986.23,2437792607900.18,2953062660119.67,3670006734228.20,3914702336570.67,4150229449045.22,3845830327604.58,2921395767800.16,2777730405927.09,3118194050588.17,3182536273975.65,3248640014760.21,2982626888407.66,3517372658753.68,
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988661508707.90,959843256699.57,1020039833906.49,1006638240829.33,939162424723.97,928134939490.57,834711396626.28,924031795808.26,950487840541.70,980305042036.65,947698669706.74,821523224327.98,894229330968.60,909734801141.51,1023033392026.92,1257961284666.71,1628187197460.23,2040091300706.18,2467644227431.21,3173750742151.42,3929284188883.61,3114958206877.48,3659460726930.72,4450411792872.84,4646441499803.17,4914816471424.85,4643054251107.57,3626632256390.49,3485437327958.11,3909310469562.89,4076952761850.13,4158041868619.31,3891716780502.41,4550386471314.90,
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,725924868987.21,820805938767.35,990420186731.45,1282009474833.95,1451737562396.92,1690860536769.17,1770038998762.33,2004883240813.33,2442675453706.78,2952813016496.02,3303153419202.79,2879959399737.03,2777352760613.07,2702046243563.73,2603373084080.96,2677637900275.27,3744009748845.69,4631210794865.90,5084244437302.15,5193624193917.05,6498415977679.82,6735958016516.45,7406226527777.06,6761056724468.84,7161810572797.82,8295693568785.84,8431210555598.21,7733628894470.83,7969672953198.28,7925736618713.03,7276322325124.59,7394075520788.61,8084072072170.40,9931941246420.93,11419079136783.30,11910867005359.20,12713942885571.20,14728846954341.10,16297814469261.30,14763977813757.70,14557879372473.30,15765577761094.40,14642123679507.80,15294488981166.30,15649727528817.40,13552508209135.20,13889010341919.90,14764916098923.10,15980834651544.90,15693403575262.40,15369441264656.70,17177419592825.00,
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,47935787066.53,53446071401.29,65231197904.87,66167298750.72,75717461359.26,92808976592.54,137881816249.80,154857623290.82,182330911424.41,200655673508.66,220955315147.85,279149992341.94,349150101114.67,485906862977.40,465384203681.54,396859082671.20,358788640443.66,366373130250.15,355306687095.59,366240276052.70,383779605557.71,381203969285.82,551311173810.49,381262100317.44,347642691973.59,326358123934.00,314257190255.42,361875597867.77,374040124481.13,423877121153.98,419636653026.66,452232301377.85,525750763590.33,523388806667.07,514797358146.54,539635554479.12,680903836387.59,856107528457.68,1060202253356.31,1291541653475.49,1635873424249.24,1511932701237.89,1788992264109.14,1682465476708.48,1885131189424.02,1956635314926.22,2076425470130.52,1656899738196.16,1562857065340.73,1654052033474.32,1739933265067.11,1804386435814.39,1680894123972.54,1799023437650.12,
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,17331556155.95,17780509893.11,19351109436.27,23347379819.79,20857413127.03,24359985828.47,26527089539.37,25984900125.45,27497447710.49,30554935439.49,32026609172.67,34485047169.28,37559246779.58,45428434495.89,55377797563.68,63266477965.88,67172587524.93,78971847961.78,91227150021.40,101978614561.81,110361978948.69,107392759779.57,106693668419.00,102234286791.03,102935526828.37,102387782583.78,117634052992.98,129470981532.43,136482582904.26,139332391288.78,161042758392.23,174632980674.44,131554409037.22,136510191061.43,115910463677.30,135298788336.71,146667501847.17,152734078872.98,161610192451.31,162376426359.22,176153919382.15,171246337663.07,184348125917.36,208942602341.57,240814633557.16,276749691191.24,326308020216.03,391217321875.51,465479771256.50,470317766056.58,519694866691.44,583081644136.37,604270718518.07,672639381118.28,714858431631.06,693082707117.49,728312721572.06,808419426852.72,770673129573.50,797571800632.39,803236484236.19,891901460388.39,
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1069412103268.12,1132019012725.28,1221985183709.62,1316377852037.61,1436851655161.00,1560359525068.66,1711719985102.08,1836531437818.01,1991581297634.48,2191149577453.34,2393886836033.61,2657638024756.01,3082808317510.59,3730068874463.97,4205658086979.18,4692778715714.74,5113634042484.28,5790905935900.86,6939058243167.39,8023021744700.20,8961142347078.07,9097109095643.48,9012586613575.61,9305579844997.68,9706803680733.16,10192296975380.70,12375608763280.10,14343425094003.90,16148904789749.00,16897595522758.10,18982696446957.70,20074172192035.80,21592324046030.50,21758968981377.30,23422833393967.40,26013294016300.80,26237144488763.30,25790444590341.80,25887094738698.50,27193242102239.60,27762354067016.10,27487710698061.10,28659649354934.80,32123306235188.10,35769583802149.60,37829451127901.20,39959351613416.90,43751995211811.90,46619256262766.20,43664133193654.40,45753889245580.00,49398150774367.70,49429396798990.50,50034666538644.10,51110586217074.20,48246432350954.10,49279729450061.90,51538132153372.60,54799160857050.50,55272928209105.50,53874554655356.40,59829674153980.10,
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,325539930408.95,311389475528.91,319201444256.51,342853995389.60,388087698764.08,425578251994.71,439368041427.98,451091164868.52,476463247202.63,531909904956.09,578220154379.84,631402795354.07,710494076776.00,920424446817.76,1159890636176.71,1252845513653.03,1357121966460.26,1537316567725.46,1659092406880.18,1983106052544.92,2347358578662.08,2532497178015.05,2506731637366.55,2467725946351.21,2510549025193.34,2614023684808.38,2714753765383.79,2773654995898.80,2987573854871.02,3097994468962.71,3564057538311.71,3451859069515.71,3631313771718.74,3901571624121.41,4312606395531.20,4897208944365.62,5348581806658.17,5671263873280.47,5505120878885.88,5361136729629.45,5834940079834.08,5907463586432.28,5996716255595.40,6741689265438.97,8037144640648.64,9610044948384.67,11397678311163.10,14159160756726.70,16992406891725.60,16479890071170.90,20040967645279.00,23729144743587.40,25219876638157.60,26607962408037.80,27514412480472.30,25769037830754.90,25971815005987.30,28675620827989.30,30508707051010.70,31161651244685.80,29983640102790.90,35422666453577.80,
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,363548040311.72,352674735326.33,364168878789.22,393237291983.59,436160488055.95,480200351952.01,498988315323.01,511136172959.20,539511171331.95,602678072590.61,661133209205.71,713700011137.55,795598076260.75,1016186726679.92,1290302614311.73,1410696142660.20,1519934096594.43,1714428676154.77,1858916659190.87,2215739945547.61,2624777872071.22,2952558749644.79,2900741391151.57,2793080138986.90,2808933022779.44,2917807142735.93,3021069776950.47,3106546583571.71,3313998701866.02,3429185953555.36,3941425456599.04,3846851439381.41,3991777195091.38,4252990205735.74,4664045528643.22,5302240467680.40,5803275524969.84,6145158416139.23,5988548523328.79,5858601698855.68,6386333809401.56,6460238098836.26,6590213078263.48,7403033784939.38,8813665497890.22,10518777863403.90,12483658634740.40,15430167877947.40,18509529431551.20,17990761211399.90,21786439779939.70,25505824792983.80,27089952222284.60,28640820758595.50,29706781908185.50,27911035349471.10,28166653534539.20,30973031188705.60,32891739875317.80,33600177295748.10,32404400348760.80,38062847856443.90,
