country_name,team,elo
Belarus,FC Luch Minsk,1270
Belarus,Granit Mikashevichi,1268
Belarus,Belshina Bobruisk,1263
Belarus,FC Arsenal Dzerzhinsk,1259
Belarus,Krumkachy Minsk,1247
Belarus,Partizan Minsk,1241
Belarus,FC Dnyapro Mogilev,1216
Belarus,FC Smorgon,1211
Belarus,Smolevichy,1200
Belarus,Naftan Novopolotsk,1198
Belarus,Dnepr Mogilev,1181
Belarus,FK Sputnik Rechytsa,1180
Belarus,FC Torpedo Minsk,1156
Belgium,Union St.Gilloise,1619
Belgium,Club Brugge,1596
Belgium,KRC Genk,1593
Belgium,Royal Antwerp FC,1587
Belgium,Gent,1582
Belgium,RSC Anderlecht,1520
Belgium,Cercle Brugge,1459
Belgium,Sporting Charleroi,1445
Belgium,Oud-Heverlee Leuven,1407
Belgium,Sint-Truiden,1402
Belgium,Standard Liège,1397
Belgium,KV Mechelen,1385
Belgium,Westerlo,1377
Belgium,Mouscron-Péruwelz,1361
Belgium,Royal Excel Mouscron Péruwelz,1328
Belgium,Roeselare,1325
Belgium,Mons,1310
Belgium,Kortrijk,1303
Belgium,Lokeren,1292
Belgium,Lierse,1288
Belgium,SV Roeselare,1286
Belgium,Zulte Waregem,1286
Belgium,KV Oostende,1285
Belgium,Waasland-Beveren,1275
Belgium,Eupen,1265
Belgium,Germinal Beerschot,1237
Belgium,R.F.C. Seraing,1227
Belize,Verdes FC,1247
Bolivia,Bolívar,1602
Bolivia,The Strongest,1580
Bolivia,Always Ready,1497
Bolivia,Nacional Potosí,1414
Bolivia,Jorge Wilstermann,1361
Bolivia,Oriente Petrolero,1334
Bolivia,Royal Pari,1331
Bolivia,Club Petrolero,1328
Bolivia,Independiente Petrolero,1326
Bolivia,CA Palmaflor,1323
Bolivia,Guabirá,1322
Bolivia,Aurora,1316
Bolivia,Universitario de Vinto,1312
Bolivia,Real Santa Cruz,1303
Bolivia,Club Vaca Díez de Pando,1298
Bolivia,Blooming,1297
Bolivia,Real Tomayapo,1296
Bolivia,Ciclon,1293
Bolivia,Sport Boys Warnes,1291
Bolivia,Universitario,1257
